SK_MATRICULA;NM_LOCALIDADE;NM_CATEGORIATARIFARIA;NM_SITUACAO_IMOVEL;NN_MORADORES;ST_PISCINA;LAT_GEO;LONG_GEO;X;Y
F6ACD21918883817E872A2368A7FB8C988EC75671B95606DE423A769277376DE;SALVADOR UMB;RESIDENCIAL;HABITADO;1;0;-12.934391;-38.358072;569631.1067608257;8570032.398879753
0B0BCD7485AC4A6311C9AD8996FD36CA7DE15238E824B279A5B0FD496ABD9C8E;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.934552;-38.357232;569722.1818482914;8570014.364901572
67DFBFBD6057A324E78489D675070CA9A0290A284CA754AB1D5E821F9D079BDE;SALVADOR UMB;RESIDENCIAL;HABITADO;1;0;-12.934463;-38.358105;569627.5070861693;8570024.445235606
DE869C4119FAE5F50840EBFC661BAE8F1E2FFA50376A073B2310FCEA9BA3DBC7;SALVADOR UMB;RESIDENCIAL;HABITADO;0;0;-12.935638;-38.36728;568631.9201605907;8569896.977954986
0F06ABE3C584A5AD4FB648EE4C8E2D26277FCB0FE75C633ABB5D2E888616565A;SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.937584;-38.360756;569339.0754007944;8569680.007507227
BB2CFE28B9DF789CB782532D153EF6CD202AF4E4F2B18B22B57E77E298654E74;SALVADOR UMB;RESIDENCIAL;HABITADO;1;0;-12.93784;-38.359699;569453.6621312571;8569651.409311365
E87C563B56625D783C62D32AC52FCB4C4C299D267BFF632641AD14DE11C36135;SALVADOR UMB;RESIDENCIAL;HABITADO;4;0;-12.938619;-38.360147;569404.8501689306;8569565.379732855
0A5D69E940C25EA22B843254045ED86A2D5AAB38AF1169C509BF14409A9A994D;SALVADOR UMB;RESIDENCIAL;HABITADO;1;0;-12.941472;-38.363193;569073.6529041579;8569250.685266966
41550CFC44F99BBE613DB51F2D27A72D499553DEEAEDE42F0CB93F78D2F7B85E;SALVADOR UMB;RESIDENCIAL;HABITADO;1;0;-12.942224;-38.362845;569111.1942983416;8569167.426141813
90DC07FB261CEEB8872AE26E22FB68E379052A95D975F218F2862462AC84A77E;SALVADOR UMB;RESIDENCIAL;HABITADO;8;0;-12.942922;-38.362812;569114.5816070016;8569090.224050919
2ADF8E165EEF209F904EAA75B36705E3FED04FED279CCF0CE15F823596234A21;SALVADOR UMB;RESIDENCIAL;HABITADO;5;0;-12.941069;-38.360603;569354.7088739268;8569294.553073676
